date,open,high,low,close,volume,adj_close
2023-03-24,158.8600,160.3400,157.8500,160.2500,59196500,157.8162
2023-03-27,159.9400,160.7700,157.8700,158.2800,52390300,155.8761
2023-03-28,157.9700,158.4900,155.9800,157.6500,45992200,155.2557
2023-03-29,159.3700,161.0500,159.3500,160.7700,51305700,158.3283
2023-03-30,161.5300,162.4700,161.2700,162.3600,49501700,159.8941
2023-03-31,162.4400,165.0000,161.9100,164.9000,68749800,162.3955
2023-04-03,164.2700,166.2900,164.2200,166.1700,56976200,163.6463
2023-04-04,166.6000,166.8400,165.1100,165.6300,46278300,163.1145
2023-04-05,164.7400,165.0500,161.8000,163.7600,51511700,161.2729
2023-04-06,162.4300,164.9600,162.0000,164.6600,45390100,162.1592
2023-04-10,161.4200,162.0300,160.0800,162.0300,47716900,159.5692
2023-04-11,162.3500,162.3600,160.5100,160.8000,47644200,158.3578
2023-04-12,161.2200,162.0600,159.7800,160.1000,50133100,157.6685
2023-04-13,161.6300,165.8000,161.4200,165.5600,68445600,163.0456
2023-04-14,164.5900,166.3200,163.8200,165.2100,49386500,162.7009
2023-04-17,165.0900,165.3900,164.0300,165.2300,41516200,162.7206
2023-04-18,166.1000,167.4100,165.6500,166.4700,49923000,163.9417
2023-04-19,165.8000,168.1600,165.5400,167.6300,47720200,165.0841
2023-04-20,166.0900,167.8700,165.5600,166.6500,52456400,164.1190
2023-04-21,165.0500,166.4500,164.4900,165.0200,58337300,162.5137
2023-04-24,165.0000,165.6000,163.8900,165.3300,41949600,162.8190
2023-04-25,165.1900,166.3100,163.7300,163.7700,48714100,161.2827
2023-04-26,163.0600,165.2800,162.8000,163.7600,45498800,161.2729
2023-04-27,165.1900,168.5600,165.1900,168.4100,64902300,165.8523
2023-04-28,168.4900,169.8500,167.8800,169.6800,55275900,167.1030
2023-05-01,169.2800,170.4500,168.6400,169.5900,52472900,167.0143
2023-05-02,170.0900,170.3500,167.5400,168.5400,48425700,165.9803
2023-05-03,169.5000,170.9200,167.1600,167.4500,65136000,164.9068
2023-05-04,164.8900,167.0400,164.3100,165.7900,81235400,163.2720
2023-05-05,170.9800,174.3000,170.7600,173.5700,113453200,170.9339
2023-05-08,172.4800,173.8500,172.1100,173.5000,55962800,170.8650
2023-05-09,173.0500,173.5400,171.6000,171.7700,45326900,169.1612
