date,open,high,low,close,volume,adj_close
2010-02-19,13.5268,13.6144,13.5060,13.5325,102021876,13.4136
2010-02-22,13.6974,13.7012,13.5385,13.5836,85698216,13.4642
2010-02-23,13.5886,13.6044,13.3206,13.3901,114789096,13.2725
2010-02-24,13.3629,13.4745,13.2760,13.3000,92970936,13.1832
2010-02-25,13.1912,13.2255,13.0130,13.1739,132235632,13.0581
2010-02-26,13.1987,13.3071,13.1001,13.1832,81890028,13.0673
2010-03-01,13.2432,13.3456,13.2067,13.3306,89426484,13.2134
2010-03-02,13.4004,13.6552,13.3886,13.5400,174097728,13.4210
2010-03-03,13.5726,13.7167,13.4947,13.6466,123452424,13.5267
2010-03-04,13.6762,13.9172,13.6687,13.8786,127224648,13.7566
2010-03-05,14.0478,14.2060,14.0115,14.1194,156331512,13.9953
2010-03-08,14.1336,14.1436,14.0393,14.0761,95360544,13.9524
2010-03-09,14.0103,14.1306,13.9264,14.0188,126936936,13.8956
2010-03-10,14.1081,14.4770,14.0693,14.4257,225969804,14.2989
2010-03-11,14.3709,14.6699,14.3694,14.5430,169162668,14.4152
2010-03-12,14.7182,14.7217,14.4935,14.5030,110025864,14.3755
2010-03-15,14.1812,14.2505,13.9139,14.0936,185969844,13.9697
2010-03-16,14.0598,14.2247,14.0330,14.1441,137122740,14.0198
2010-03-17,14.2217,14.3006,14.1204,14.1532,132731136,14.0288
2010-03-18,14.1321,14.2252,14.0881,14.1742,71016912,14.0496
2010-03-19,14.0140,14.2142,13.9459,14.0140,191576232,13.8908
2010-03-22,13.9167,14.1854,13.8709,13.9515,160031808,13.8288
2010-03-23,13.9399,13.9717,13.5636,13.7387,219831948,13.6180
2010-03-24,13.6514,14.0103,13.5060,13.9472,262345392,13.8246
2010-03-25,13.9895,14.3143,13.9805,14.0861,157078764,13.9623
2010-03-26,14.1459,14.1989,14.0145,14.0813,107740152,13.9576
2010-03-29,14.0891,14.1321,14.0283,14.0753,124055820,13.9516
2010-03-30,14.0848,14.2050,14.0210,14.1819,79036884,14.0573
2010-03-31,14.1404,14.2578,14.0843,14.1922,121110768,14.0675
2010-04-01,14.2980,14.3506,14.1529,14.2342,84023892,14.1091
2010-04-05,14.2868,14.3864,14.2392,14.2895,75983940,14.1639
2010-04-06,14.2508,14.2865,14.1491,14.2197,82321596,14.0947
2010-04-07,14.1967,14.2330,14.0606,14.1026,103136760,13.9787
2010-04-08,14.0971,14.2605,14.0153,14.2015,77822100,14.0766
2010-04-09,14.2015,14.2335,14.1141,14.1697,82181736,14.0451
2010-04-12,14.1979,14.3644,14.1697,14.3326,94001904,14.2066
2010-04-13,14.3276,14.7367,14.2925,14.6839,156335508,14.5549
2010-04-14,14.7663,14.8233,14.6149,14.7397,135971892,14.6102
2010-04-15,14.8191,14.9610,14.7220,14.8974,270201528,14.7665
2010-04-16,14.0891,14.2345,13.7545,13.7675,488930580,13.6465
2010-04-19,13.7325,13.8636,13.6386,13.7663,155604240,13.6453
2010-04-20,13.8681,14.0055,13.7903,13.8899,118976904,13.7678
2010-04-21,13.9254,14.0203,13.8178,13.8714,95564340,13.7495
